Latitude,Longitude,Risk_Rating
25.298814,91.589802,0.8407
25.298814,91.599753,0.8451
25.298814,91.609703,0.414
25.298814,91.619654,0.3361
25.298814,91.629605,0.3046
25.298814,91.639555,0.5341
25.298814,91.649506,0.7843
25.298814,91.659456,0.3067
25.298814,91.669407,0.2172
25.298814,91.679357,0.1112
25.298814,91.689308,0.1325
25.298814,91.699259,0.1328
25.298814,91.709209,0.1111
25.298814,91.71916,0.1037
25.298814,91.72911,0.5324
25.298814,91.739061,0.2637
25.298814,91.749012,0.8259
25.298814,91.758962,0.6242
25.298814,91.768913,0.4731
25.298814,91.778863,0.3798
25.298814,91.788814,0.4076
25.298814,91.798764,0.1956
25.298814,91.808715,0.278
25.298814,91.818666,0.147
25.298814,91.828616,0.7534
25.298814,91.838567,0.8073
25.298814,91.848517,0.6212
25.298814,91.858468,0.8684
25.298814,91.868418,0.7762
25.298814,91.878369,0.8615
25.298814,91.88832,0.5021
25.298814,91.89827,0.4497
25.298814,91.908221,0.4719
25.298814,91.918171,0.491
25.298814,91.928122,0.1406
25.298814,91.938072,0.2529
25.298814,91.948023,0.6341
25.298814,91.957974,0.5753
25.298814,91.967924,0.5613
25.298814,91.977875,0.8566
25.298814,91.987825,0.4045
25.298814,91.997776,0.4509
25.298814,92.007726,0.408
25.298814,92.017677,0.1335
25.298814,92.027628,0.4103
25.298814,92.037578,0.2492
25.298814,92.047529,0.4409
25.307797,91.55,0.2778
25.307797,91.559951,0.1214
25.307797,91.569901,0.1772
25.307797,91.579852,0.1218
25.307797,91.589802,0.0796
25.307797,91.599753,0.417
25.307797,91.609703,0.4227
25.307797,91.619654,0.3107
25.307797,91.629605,0.1562
25.307797,91.639555,0.2694
25.307797,91.649506,0.7707
25.307797,91.659456,0.2387
25.307797,91.669407,0.2065
25.307797,91.679357,0.2581
25.307797,91.689308,0.0762
25.307797,91.699259,0.0761
25.307797,91.709209,0.1083
25.307797,91.71916,0.0622
25.307797,91.72911,0.4413
25.307797,91.739061,0.7135
25.307797,91.749012,0.7341
25.307797,91.758962,0.5996
25.307797,91.768913,0.7687
25.307797,91.778863,0.403
25.307797,91.788814,0.625
25.307797,91.798764,0.1804
25.307797,91.808715,0.2455
25.307797,91.818666,0.1621
25.307797,91.828616,0.2121
25.307797,91.838567,0.3506
25.307797,91.848517,0.3897
25.307797,91.858468,0.3159
25.307797,91.868418,0.7848
25.307797,91.878369,0.7649
25.307797,91.88832,0.8663
25.307797,91.89827,0.476
25.307797,91.908221,0.0735
25.307797,91.918171,0.059
25.307797,91.928122,0.2266
25.307797,91.938072,0.2386
25.307797,91.948023,0.7647
25.307797,91.957974,0.1216
25.307797,91.967924,0.7877
25.307797,91.977875,0.8466
25.307797,91.987825,0.8067
25.307797,91.997776,0.2929
25.307797,92.007726,0.3019
25.307797,92.017677,0.0874
25.307797,92.027628,0.0945
25.307797,92.037578,0.2632
25.307797,92.047529,0.8176
25.31678,91.55,0.1343
25.31678,91.559951,0.1747
25.31678,91.569901,0.1971
25.31678,91.579852,0.0676
25.31678,91.589802,0.0973
25.31678,91.599753,0.0827
25.31678,91.609703,0.7511
25.31678,91.619654,0.2452
25.31678,91.629605,0.3803
25.31678,91.639555,0.2947
25.31678,91.649506,0.7802
25.31678,91.659456,0.211
25.31678,91.669407,0.1347
25.31678,91.679357,0.165
25.31678,91.689308,0.0937
25.31678,91.699259,0.1181
25.31678,91.709209,0.1006
25.31678,91.71916,0.7506
25.31678,91.72911,0.3907
25.31678,91.739061,0.4712
25.31678,91.749012,0.7286
25.31678,91.758962,0.6046
25.31678,91.768913,0.3753
25.31678,91.778863,0.2809
25.31678,91.788814,0.2829
25.31678,91.798764,0.7626
25.31678,91.808715,0.8053
25.31678,91.818666,0.2192
25.31678,91.828616,0.2352
25.31678,91.838567,0.836
25.31678,91.848517,0.3511
25.31678,91.858468,0.7854
25.31678,91.868418,0.8507
25.31678,91.878369,0.8327
25.31678,91.88832,0.4928
25.31678,91.89827,0.4157
25.31678,91.908221,0.1822
25.31678,91.918171,0.1832
25.31678,91.928122,0.8349
25.31678,91.938072,0.7329
25.31678,91.948023,0.5666
25.31678,91.957974,0.1098
25.31678,91.967924,0.2929
25.31678,91.977875,0.3413
25.31678,91.987825,0.2929
25.31678,91.997776,0.2929
25.31678,92.007726,0.2629
25.31678,92.017677,0.0941
25.31678,92.027628,0.3148
25.31678,92.037578,0.2676
